n,size,misses
580,206314,300114
581,207091,301084
582,93799,302055
583,208450,303221
584,209231,304196
585,94770,305172
586,210597,306344
587,211382,307324
588,95746,308305
589,212755,309483
590,213544,310468
591,96727,311454
592,214924,312638
593,215717,313628
594,97713,314619
595,217104,315809
596,217901,316804
597,98704,317800
598,219295,318996
599,220096,319996
600,99700,320997
601,221497,322199
602,222302,323204
603,100701,324210
604,223710,325418
605,224519,326428
606,101707,327439
607,225934,328653
608,226747,329668
609,102718,330684
610,228169,331904
611,228986,332924
612,103734,333945
613,230415,335171
614,231236,336196
615,104755,337222
616,232672,338454
617,233497,339484
618,105781,340515
619,234940,341753
620,235769,342788
621,106812,343824
622,237219,345068
623,238052,346108
624,107848,347149
625,239509,348399
626,240346,349444
627,108889,350490
628,241810,351746
629,242651,352796
630,109935,353847
631,244122,355109
632,244967,356164
633,110986,357220
634,246445,358488
635,247294,359548
636,112042,360609
637,248779,361883
638,249632,362948
639,113103,364014
640,251124,365294
641,251981,366364
642,114169,367435
643,253480,368721
644,254341,369796
645,115240,370872
646,255847,372164
647,256712,373244
648,116316,374325
649,258225,375623
650,259094,376708
651,117397,377794
652,260614,379098
653,261487,380188
654,118483,381279
655,263014,382589
656,263891,383684
657,119574,384780
658,265425,386096
659,266306,387196
660,120670,388297
661,267847,389619
662,268732,390724
663,121771,391830
664,270280,393158
665,271169,394268
666,122877,395379
667,272724,396713
668,273617,397828
669,123988,398944
670,275179,400284
671,276076,401404
672,125104,402525
673,277645,403871
674,278546,404996
675,126225,406122
676,280122,407474
677,281027,408604
678,127351,409735
679,282610,411093
680,283519,412228
681,128482,413364
682,285109,414728
683,286022,415868
684,129618,417009
685,287619,418379
686,288536,419524
687,130759,420670
688,290140,422046
689,291061,423196
690,131905,424347
691,292672,425729
692,293597,426884
693,133056,428040
694,295215,429428
695,296144,430588
696,134212,431749
697,297769,433143
698,298702,434308
699,135373,435474
700,300334,436874
701,301271,438044
702,136539,439215
703,302910,440621
704,303851,441796
705,137710,442972
706,305497,444384
707,306442,445564
708,138886,446745
709,308095,448163
710,309044,449348
711,140067,450534
712,310704,451958
713,311657,453148
714,141253,454339
715,313324,455769
716,314281,456964
717,142444,458160
718,315955,459596
719,316916,460796
720,143640,461997
721,318597,463439
722,319562,464644
723,144841,465850
724,321250,467298
725,322219,468508
726,146047,469719
727,323914,471173
728,324887,472388
729,147258,473604
730,326589,475064
731,327566,476284
732,148474,477505
733,329275,478971
734,330256,480196
735,149695,481422
736,331972,482894
737,332957,484124
738,150921,485355
739,334680,486833
740,335669,488068
741,152152,489304
742,337399,490788
743,338392,492028
744,153388,493269
745,340129,494759
746,341126,496004
747,154629,497250
748,342870,498746
749,343871,499996
750,155875,501247
751,345622,502749
752,346627,504004
753,157126,505260
754,348385,506768
755,349394,508028
756,158382,509289
757,351159,510803
758,352172,512068
759,159643,513334
760,353944,514854
761,354961,516124
762,160909,517395
763,356740,518921
764,357761,520196
765,162180,521472
766,359547,523004
767,360572,524284
768,163456,525565
769,362365,527103
770,363394,528388
771,164737,529674
772,365194,531218
773,366227,532508
774,166023,533799
775,368034,535349
776,369071,536644
777,167314,537940
778,370885,539496
779,371926,540796
780,168610,542097
781,373747,543659
782,374792,544964
783,169911,546270
784,376620,547838
785,377669,549148
786,171217,550459
787,379504,552033
788,380557,553348
789,172528,554664
790,382399,556244
791,383456,557564
792,173844,558885
793,385305,560471
794,386366,561796
795,175165,563122
796,388222,564714
