n,size,misses
671,124432,401405
672,125104,402526
673,124876,403872
674,125550,404997
675,126225,406123
676,125996,407475
677,126673,408605
678,127351,409736
679,127121,411094
680,127801,412229
681,128482,413365
682,128251,414729
683,128934,415869
684,129618,417010
685,129386,418380
686,130072,419525
687,130759,420671
688,130526,422047
689,131215,423197
690,131905,424348
691,131671,425730
692,132363,426885
693,133056,428041
694,132821,429429
695,133516,430589
696,134212,431750
697,133976,433144
698,134674,434309
699,135373,435475
700,135136,436875
701,135837,438045
702,136539,439216
703,136301,440622
704,137005,441797
705,137710,442973
706,137471,444385
707,138178,445565
708,138886,446746
709,138646,448164
710,139356,449349
711,140067,450535
712,139826,451959
713,140539,453149
714,141253,454340
715,141011,455770
716,141727,456965
717,142444,458161
718,142201,459597
719,142920,460797
720,143640,461998
721,143396,463440
722,144118,464645
723,144841,465851
724,144596,467299
725,145321,468509
726,146047,469720
727,145801,471174
728,146529,472389
729,147258,473605
730,147011,475065
731,147742,476285
732,148474,477506
733,148226,478972
734,148960,480197
735,149695,481423
736,149446,482895
737,150183,484125
738,150921,485356
739,150671,486834
740,151411,488069
741,152152,489305
742,151901,490789
743,152644,492029
744,153388,493270
745,153136,494760
746,153882,496005
747,154629,497251
748,154376,498747
749,155125,499997
750,155875,501248
751,155621,502750
752,156373,504005
753,157126,505261
754,156871,506769
755,157626,508029
756,158382,509290
757,158126,510804
758,158884,512069
759,159643,513335
760,159386,514855
761,160147,516125
762,160909,517396
763,160651,518922
764,161415,520197
765,162180,521473
766,161921,523005
767,162688,524285
768,163456,525566
769,163196,527104
770,163966,528389
771,164737,529675
772,164476,531219
773,165249,532509
774,166023,533800
775,165761,535350
776,166537,536645
777,167314,537941
778,167051,539497
779,167830,540797
780,168610,542098
781,168346,543660
782,169128,544965
783,169911,546271
784,169646,547839
785,170431,549149
786,171217,550460
787,170951,552034
788,171739,553349
789,172528,554665
790,172261,556245
791,173052,557565
792,173844,558886
793,173576,560472
794,174370,561797
795,175165,563123
796,174896,564715
797,175693,566045
798,176491,567376
799,176221,568974
800,177021,570309
801,177822,571645
802,177551,573249
803,178354,574589
804,179158,575930
805,178886,577540
806,179692,578885
807,180499,580231
808,180226,581847
809,181035,583197
810,181845,584548
811,181571,586170
812,182383,587525
813,183196,588881
814,182921,590509
815,183736,591869
816,184552,593230
817,184276,594864
818,185094,596229
819,185913,597595
820,185636,599235
821,186457,600605
822,187279,601976
823,187001,603622
824,187825,604997
825,188650,606373
826,188371,608025
827,189198,609405
828,190026,610786
829,189746,612444
830,190576,613829
831,191407,615215
832,191126,616879
833,191959,618269
834,192793,619660
835,192511,621330
836,193347,622725
837,194184,624121
838,193901,625797
839,194740,627197
840,195580,628598
841,195296,630280
842,196138,631685
843,196981,633091
844,196696,634779
845,197541,636189
846,198387,637600
847,198101,639294
848,198949,640709
849,199798,642125
850,199511,643825
851,200362,645245
852,201214,646666
853,200926,648372
854,201780,649797
855,202635,651223
856,202346,652935
857,203203,654365
858,204061,655796
859,203771,657514
860,204631,658949
861,205492,660385
862,205201,662109
863,206064,663549
864,206928,664990
865,206636,666720
866,207502,668165
867,208369,669611
868,208076,671347
869,208945,672797
870,209815,674248
871,209521,675990
872,210393,677445
873,211266,678901
874,210971,680649
875,211846,682109
876,212722,683570
877,212426,685324
878,213304,686789
879,214183,688255
880,213886,690015
881,214767,691485
882,215649,692956
883,215351,694722
884,216235,696197
885,217120,697673
886,216821,699445
887,217708,700925
888,218596,702406
889,218296,704184
890,219186,705669
891,220077,707155
892,219776,708939
893,220669,710429
894,221563,711920
895,221261,713710
896,222157,715205
897,223054,716701
898,222751,718497
899,223650,719997
900,224550,721498
901,224246,723300
902,225148,724805
903,226051,726311
904,225746,728119
905,226651,729629
906,227557,731140
907,227251,732954
908,228159,734469
909,229068,735985
910,228761,737805
911,229672,739325
912,230584,740846
913,230276,742672
914,231190,744197
915,232105,745723
916,231796,747555
917,232713,749085
918,233631,750616
919,233321,752454
920,234241,753989
921,235162,755525
922,234851,757369
923,235774,758909
924,236698,760450
925,236386,762300
926,237312,763845
927,238239,765391
928,237926,767247
929,238855,768797
930,239785,770348
931,239471,772210
932,240403,773765
933,241336,775321
934,241021,777189
935,241956,778749
936,242892,780310
937,242576,782184
938,243514,783749
939,244453,785315
940,244136,787195
941,245077,788765
942,246019,790336
943,245701,792222
944,246645,793797
945,247590,795373
946,247271,797265
947,248218,798845
948,249166,800426
949,248846,802324
950,249796,803909
951,250747,805495
952,250426,807399
953,251379,808989
954,252333,810580
955,252011,812490
956,252967,814085
957,253924,815681
958,253601,817597
959,254560,819197
960,255520,820798
961,255196,822720
962,256158,824325
963,257121,825931
964,256796,827859
965,257761,829469
966,258727,831080
967,258401,833014
968,259369,834629
969,260338,836245
970,260011,838185
971,260982,839805
972,261954,841426
973,261626,843372
974,262600,844997
975,263575,846623
976,263246,848575
977,264223,850205
978,265201,851836
979,264871,853794
980,265851,855429
981,266832,857065
982,266501,859029
983,267484,860669
984,268468,862310
985,268136,864280
986,269122,865925
987,270109,867571
988,269776,869547
989,270765,871197
990,271755,872848
991,271421,874830
992,272413,876485
993,273406,878141
994,273071,880129
995,274066,881789
996,275062,883450
997,274726,885444
998,275724,887109
999,276723,888775
1000,276386,890775
1001,277387,892445
1002,278389,894116
1003,278051,896122
1004,279055,897797
1005,280060,899473
1006,279721,901485
1007,280728,903165
1008,281736,904846
1009,281396,906864
1010,282406,908549
1011,283417,910235
1012,283076,912259
1013,284089,913949
1014,285103,915640
1015,284761,917670
1016,285777,919365
1017,286794,921061
1018,286451,923097
1019,287470,924797
1020,288490,926498
1021,288146,928540
1022,289168,930245
1023,290191,931951
1024,289846,933999
1025,290871,935709
1026,291897,937420
1027,291551,939474
1028,292579,941189
1029,293608,942905
1030,293261,944965
1031,294292,946685
1032,295324,948406
1033,294976,950472
1034,296010,952197
1035,297045,953923
1036,296696,955995
1037,297733,957725
1038,298771,959456
1039,298421,961534
1040,299461,963269
1041,300502,965005
1042,300151,967089
1043,301194,968829
1044,302238,970570
1045,301886,972660
1046,302932,974405
1047,303979,976151
1048,303626,978247
1049,304675,979997
1050,305725,981748
1051,305371,983850
1052,306423,985605
1053,307476,987361
1054,307121,989469
1055,308176,991229
1056,309232,992990
1057,308876,995104
1058,309934,996869
1059,310993,998635
1060,310636,1000755
1061,311697,1002525
1062,312759,1004296
1063,312401,1006422
1064,313465,1008197
1065,314530,1009973
1066,314171,1012105
1067,315238,1013885
1068,316306,1015666
1069,315946,1017804
1070,317016,1019589
1071,318087,1021375
1072,317726,1023519
1073,318799,1025309
1074,319873,1027100
1075,319511,1029250
1076,320587,1031045
1077,321664,1032841
1078,321301,1034997
1079,322380,1036797
1080,323460,1038598
1081,323096,1040760
1082,324178,1042565
1083,325261,1044371
1084,324896,1046539
1085,325981,1048349
1086,327067,1050160
1087,326701,1052334
1088,327789,1054149
1089,328878,1055965
1090,328511,1058145
1091,329602,1059965
1092,330694,1061786
1093,330326,1063972
1094,331420,1065797
1095,332515,1067623
1096,332146,1069815
1097,333243,1071645
1098,334341,1073476
1099,333971,1075674
1100,335071,1077509
1101,336172,1079345
1102,335801,1081549
1103,336904,1083389
1104,338008,1085230
1105,337636,1087440
1106,338742,1089285
1107,339849,1091131
1108,339476,1093347
1109,340585,1095197
1110,341695,1097048
1111,341321,1099270
1112,342433,1101125
1113,343546,1102981
1114,343171,1105209
1115,344286,1107069
1116,345402,1108930
1117,345026,1111164
1118,346144,1113029
1119,347263,1114895
1120,346886,1117135
1121,348007,1119005
1122,349129,1120876
1123,348751,1123122
1124,349875,1124997
1125,351000,1126873
1126,350621,1129125
1127,351748,1131005
1128,352876,1132886
1129,352496,1135144
1130,353626,1137029
1131,354757,1138915
1132,354376,1141179
1133,355509,1143069
1134,356643,1144960
1135,356261,1147230
1136,357397,1149125
1137,358534,1151021
1138,358151,1153297
1139,359290,1155197
1140,360430,1157098
1141,360046,1159380
1142,361188,1161285
1143,362331,1163191
1144,361946,1165479
1145,363091,1167389
1146,364237,1169300
1147,363851,1171594
1148,364999,1173509
1149,366148,1175425
1150,365761,1177725
1151,366912,1179645
1152,368064,1181566
1153,367676,1183872
1154,368830,1185797
